name,private,archived,default_branch,head_sha,license_spdx,language,disk_kb,file_count,rtl_files,firmware_files,software_files,test_files,relevance_score,tree_truncated,error
szl-build-env,False,True,main,ccc12507daf2668de8c387baede2e344d24be745,,Python,171,0,0,0,0,0,0,False,
szl-cookbook,False,True,main,5eb303b4d611c14906cbe455c5f2d27999e9c3a4,,TypeScript,8526,0,0,0,0,0,0,False,
szl-defensive-control-plane,True,False,main,0d4c4c14b64d0f950ba5702747e25d9db9168f8e,,Python,99,0,0,0,0,0,0,False,
szl-doctrine,False,False,main,c8114012f37dfdf87b2c25d8dbf244f792d27e00,,Python,402,0,0,0,0,0,0,False,
szl-estate-os,True,False,main,4426ff855694dd9b54efd798b60ef8a33885f310,,Python,325,0,0,0,0,0,0,False,
szl-experiments,False,True,main,2d2980ce7f0063b5692fe2b46163dee6df2831e1,,Python,119,0,0,0,0,0,0,False,
szl-formula-ledger,False,True,main,ceaef540eba6c5acf85091faf4a20cd9aef480f9,,Python,34,0,0,0,0,0,0,False,
szl-frontier,False,False,main,8fd551b9538e975f591f2d675957344323b19cd6,,TypeScript,672,0,0,0,0,0,0,False,
szl-gov,False,False,main,f1efc78dd8817810ef1c33ed59fce70fec79abd7,,Python,199,0,0,0,0,0,0,False,
szl-holdings.github.io,False,False,main,4427166caa5e7c09a74ac6021ee8b5b18c9c9665,,HTML,956,0,0,0,0,0,0,False,
szl-mesh,False,True,main,59975b4d76f6f5ede31c67564e67cba93ae232d3,,Python,228,0,0,0,0,0,0,False,
szl-org-health,True,False,main,b5ae9b785cf96dc96ae0fa0ef754a373cfc644ad,,Python,253,0,0,0,0,0,0,False,
szl-organ-integrity,False,True,main,029403510ae69048df3b35571ace836b7d2c6ada,,HTML,21,0,0,0,0,0,0,False,
szl-otel-mesh,False,True,main,172f52ecfc2cc7babac78bffde79517b38fcdb42,,Python,441,0,0,0,0,0,0,False,
szl-papers,False,False,main,b96d4908a0cee573a7ab062a145307b78c0e282b,,TeX,2865,0,0,0,0,0,0,False,
szl-provctl-live,False,True,main,bf0903cdad0a78d06542fd5457db8d1daf82ea43,,Python,228,0,0,0,0,0,0,False,
szl-real-estate,False,False,main,aa13b81bba34ab4531a9e5eb52797c8d33fe15a0,,Python,35,0,0,0,0,0,0,False,
szl-router,False,True,main,dbf200afa32e46231f98a516d43c7bbf4bd47f2d,,Python,255,0,0,0,0,0,0,False,
szl-second-brain,False,False,main,ff03b116a83f2b5302999ab4167d51e35aba3b5e,,Python,268,0,0,0,0,0,0,False,
szl-telemetry,False,True,main,ef519c090c9e2c19852e8b5c774fc41c750d9ec5,,Python,81,0,0,0,0,0,0,False,
szl-uds-deployment,False,True,main,341b79deda9094898e018a6152bba0a9b7e003df,,Shell,4484,0,0,0,0,0,0,False,
szl-v14,True,False,main,bb1e37cb0cea63f3278fd2e6ebdaf6e49df16cf9,,Python,220,0,0,0,0,0,0,False,
uds-bundles,False,True,main,3c26e50961031918175ff9f529746022bbead1bb,,Python,789,0,0,0,0,0,0,False,
vsp-otel,False,True,main,b81c28666ecf411d50556531ca23e3981447f5fb,,TypeScript,475,0,0,0,0,0,0,False,
